,client_id,end,run_id,start,success
0,0,1539359287148.3635,0,1539359225502.3635,True
1,0,1539359287148.3635,1,1539359225502.3635,True
2,0,1539359355342.3635,2,1539359293623.3635,True
3,0,1539359423148.5454,3,1539359361534.5454,True
4,0,1539359494107.0,4,1539359432472.0,True
5,0,1539359565459.182,5,1539359503860.182,True
6,0,1539359634995.2727,6,1539359573385.2727,True
7,0,1539359706462.2727,7,1539359644848.2727,True
8,0,1539359775396.0,8,1539359713782.0,True
9,0,1539359847891.2727,9,1539359786286.2727,True
10,0,1539359914670.0908,10,1539359852931.0908,True
11,0,1539359984129.182,11,1539359922496.182,True
12,0,1539360047662.0,12,1539359986033.0,True
13,0,1539360117228.9092,13,1539360055618.9092,True
14,0,1539360184374.7273,14,1539360122772.7273,True
15,0,1539360256513.2727,15,1539360194861.2727,True
16,0,1539360324355.9092,16,1539360262752.9092,True
17,0,1539360391149.0,17,1539360329508.0,True
18,0,1539360456766.7273,18,1539360395145.7273,True
19,0,1539360523848.6365,19,1539360462220.6365,True
20,0,1539360589547.0,20,1539360527964.0,True
21,0,1539360661053.0908,21,1539360599336.0908,True
22,0,1539360727120.0,22,1539360665484.0,True
23,0,1539360793092.818,23,1539360731451.818,True
24,0,1539360858046.0908,24,1539360796462.0908,True
25,0,1539360925400.7273,25,1539360863807.7273,True
26,0,1539360991089.182,26,1539360929481.182,True
27,0,1539361057096.0908,27,1539360995525.0908,True
28,0,1539361123765.9092,28,1539361062190.9092,True
29,0,1539361194371.0,29,1539361132784.0,True
30,0,1539361264604.0,30,1539361202993.0,True
31,0,1539361335814.0,31,1539361274249.0,True
32,0,1539361400752.9092,32,1539361339181.9092,True
33,0,1539361467643.0908,33,1539361406042.0908,True
34,0,1539361537151.0,34,1539361475571.0,True
35,0,1539361610019.3635,35,1539361548431.3635,True
36,0,1539361682281.0908,36,1539361620673.0908,True
37,0,1539361754152.2727,37,1539361692558.2727,True
38,0,1539361817285.2727,38,1539361755690.2727,True
39,0,1539361881528.0,39,1539361819886.0,True
40,0,1539361947564.3635,40,1539361885972.3635,True
41,0,1539362018076.9092,41,1539361956363.9092,True
42,0,1539362085192.4546,42,1539362023618.4546,True
43,0,1539362158242.3635,43,1539362096640.3635,True
44,0,1539362225180.3635,44,1539362163608.3635,True
45,0,1539362298109.4546,45,1539362236403.4546,True
46,0,1539362365422.7273,46,1539362303799.7273,True
47,0,1539362431135.7273,47,1539362369540.7273,True
48,0,1539362496559.3635,48,1539362434859.3635,True
49,0,1539362563650.5454,49,1539362502063.5454,True
50,0,1539362627304.818,50,1539362565701.818,True
51,0,1539362691961.7273,51,1539362630369.7273,True
52,0,1539362763702.3635,52,1539362702130.3635,True
53,0,1539362828435.182,53,1539362766840.182,True
54,0,1539362896704.0,54,1539362835130.0,True
55,0,1539362968620.7273,55,1539362907021.7273,True
56,0,1539363040333.818,56,1539362978726.818,True
57,0,1539363103762.182,57,1539363042193.182,True
58,0,1539363170680.0,58,1539363109079.0,True
59,0,1539363241505.0,59,1539363179938.0,True
60,0,1539363313375.0908,60,1539363251803.0908,True
61,0,1539363384716.9092,61,1539363323104.9092,True
62,0,1539363455516.182,62,1539363393924.182,True
63,0,1539363523337.2727,63,1539363461741.2727,True
64,0,1539363588348.4546,64,1539363526760.4546,True
65,0,1539363660184.3635,65,1539363598552.3635,True
66,0,1539363724060.4546,66,1539363662435.4546,True
67,0,1539363790989.0908,67,1539363729402.0908,True
68,0,1539363858933.0908,68,1539363797332.0908,True
69,0,1539363931852.2727,69,1539363870218.2727,True
70,0,1539364002051.7273,70,1539363940466.7273,True
71,0,1539364072664.182,71,1539364011023.182,True
72,0,1539364144268.182,72,1539364082700.182,True
73,0,1539364216463.5454,73,1539364154888.5454,True
74,0,1539364285501.6365,74,1539364223887.6365,True
75,0,1539364354778.0,75,1539364293221.0,True
76,0,1539364421500.4546,76,1539364359788.4546,True
77,0,1539364486598.6365,77,1539364425026.6365,True
78,0,1539364552789.818,78,1539364491185.818,True
79,0,1539364619406.7273,79,1539364557836.7273,True
80,0,1539364685463.7273,80,1539364623898.7273,True
81,0,1539364753049.9092,81,1539364691462.9092,True
82,0,1539364823461.818,82,1539364761733.818,True
83,0,1539364887604.0,83,1539364825993.0,True
84,0,1539364952955.0,84,1539364891269.0,True
85,0,1539365017837.0908,85,1539364956275.0908,True
86,0,1539365086523.0,86,1539365024986.0,True
87,0,1539365158456.3635,87,1539365096879.3635,True
88,0,1539365230056.0908,88,1539365168461.0908,True
89,0,1539365300039.0908,89,1539365238494.0908,True
90,0,1539365371866.7273,90,1539365310288.7273,True
91,0,1539365439731.2727,91,1539365378165.2727,True
92,0,1539365507706.4546,92,1539365446090.4546,True
93,0,1539365578539.2727,93,1539365516936.2727,True
94,0,1539365645278.4546,94,1539365583695.4546,True
95,0,1539365713670.6365,95,1539365652067.6365,True
96,0,1539365779531.4546,96,1539365717940.4546,True
97,0,1539365845785.3635,97,1539365784176.3635,True
98,0,1539365913254.5454,98,1539365851679.5454,True
99,0,1539365982058.3635,99,1539365920480.3635,True
